customer_id,group,revenue_pre_w1,revenue_pre_w2,revenue_pre_w3,revenue_post,engagement_score_pre_w1,engagement_score_pre_w2,engagement_score_pre_w3,engagement_score_post,support_tickets_pre_w1,support_tickets_pre_w2,support_tickets_pre_w3,support_tickets_post,customer_churned,new_customer,region,device_type
CUST_004467,Control,66.02,67.65,81.77,78.97,60.64,22.63,52.34,60.88,5.83,1.92,3.57,3.83,0,1,East,Desktop
CUST_004382,Control,12.9,12.66,13.6,17.13,46.55,81.08,46.33,35.44,4.09,3.71,4.39,5.31,0,0,West,Mobile
CUST_005121,Treatment,125.29,127.83,137.36,147.5,58.04,52.11,50.8,45.71,6.1,4.84,2.97,4.22,0,1,East,Desktop
CUST_004563,Control,38.78,17.53,17.75,39.17,37.89,56.72,60.06,59.93,4.79,5.95,3.24,3.47,0,1,West,Mobile
CUST_000379,Control,19.94,17.36,16.28,17.67,61.31,59.38,48.56,46.05,4.26,5.36,4.92,6.01,0,0,South,Mobile
CUST_002760,Control,17.51,18.84,33.49,24.98,39.22,47.08,60.46,49.75,8.96,6.12,5.75,5.37,0,1,North,Desktop
CUST_006960,Treatment,3.11,7.55,6.17,11.83,54.09,54.27,43.9,48.25,6.5,5.96,3.89,1.72,0,0,North,Desktop
CUST_006782,Treatment,4.96,12.94,22.03,16.3,41.74,58.24,51.63,55.35,1.38,1.84,0.0,1.33,0,0,East,Desktop
CUST_001290,Control,7.28,20.38,23.26,12.66,65.37,55.11,60.24,61.86,4.26,1.9,0.0,1.81,0,0,South,Tablet
CUST_006744,Treatment,5.83,1.47,17.03,3.76,45.67,48.33,46.02,45.84,3.13,1.06,1.6,0.0,0,1,North,Desktop
CUST_000012,Control,35.4,27.84,34.96,23.43,48.48,36.71,28.17,33.58,4.29,5.64,2.95,3.82,0,0,East,Mobile
CUST_002067,Control,96.65,79.33,102.79,97.28,66.79,50.41,43.02,38.41,5.87,5.43,4.5,4.42,0,0,West,Mobile
CUST_006211,Treatment,156.57,185.49,181.07,195.0,64.63,60.78,60.32,66.22,2.9,2.48,5.74,2.89,0,0,South,Desktop
CUST_004480,Control,56.13,42.7,73.06,75.14,64.9,67.0,48.85,43.61,1.51,2.84,1.31,0.0,0,0,South,Desktop
CUST_001056,Control,114.32,132.2,109.41,130.8,51.44,69.29,45.98,40.36,3.19,6.02,1.33,1.01,0,1,East,Mobile
CUST_003701,Control,63.97,73.14,60.2,63.05,47.11,40.15,47.67,43.66,2.33,2.42,0.0,0.19,1,0,South,Mobile
CUST_005578,Treatment,26.51,25.38,13.82,35.33,43.49,54.46,58.76,62.57,4.48,3.67,3.94,5.23,0,0,West,Desktop
CUST_009026,Treatment,6.99,13.5,8.2,7.53,40.55,38.74,46.23,48.81,2.92,5.0,6.89,4.6,0,0,West,Mobile
CUST_004642,Control,37.23,65.4,51.46,53.86,40.92,50.67,54.89,48.1,4.59,2.63,3.89,7.04,1,0,East,Mobile
CUST_008723,Treatment,45.2,60.72,56.68,67.56,30.76,52.41,58.21,55.28,7.92,5.05,6.24,4.94,0,1,East,Desktop
CUST_009737,Treatment,11.11,18.1,1.06,11.91,57.09,48.52,41.5,41.0,0.96,0.0,1.56,1.73,1,0,East,Desktop
CUST_001112,Control,12.53,4.62,6.58,5.15,44.71,62.74,52.93,54.6,9.03,7.62,8.07,6.95,0,0,South,Desktop
CUST_009272,Treatment,100.25,99.55,99.63,112.89,58.12,75.34,52.14,50.23,1.34,2.99,1.66,2.4,0,0,South,Mobile
CUST_002730,Control,9.1,4.84,1.33,1.04,60.13,42.15,39.08,42.41,1.17,3.99,2.66,1.58,0,0,South,Desktop
CUST_000738,Control,11.84,7.05,21.67,28.98,44.48,69.48,36.46,38.23,7.36,9.15,6.68,6.58,0,0,West,Desktop
CUST_001749,Control,25.49,30.59,23.95,26.42,53.13,37.45,49.36,43.13,0.17,0.47,0.12,0.0,0,0,South,Desktop
CUST_009312,Treatment,66.05,44.05,59.83,53.94,56.61,48.82,35.88,27.85,8.18,4.74,6.13,5.87,0,0,South,Desktop
CUST_007788,Treatment,85.83,90.48,97.04,95.82,44.24,53.71,66.06,65.28,5.19,4.95,5.08,1.3,0,0,West,Desktop
CUST_005592,Treatment,51.5,70.66,69.64,61.6,56.86,58.89,38.68,41.56,0.0,0.08,0.0,1.77,0,0,South,Desktop
CUST_002435,Control,17.85,10.19,9.87,15.39,49.05,54.56,55.63,50.06,0.41,1.15,2.02,0.42,0,0,South,Desktop
CUST_001546,Control,12.82,14.1,7.2,8.14,47.74,64.76,54.41,56.78,5.55,3.01,6.09,4.2,1,0,East,Desktop
CUST_002894,Control,12.95,7.96,31.47,12.91,60.25,41.98,48.96,48.97,1.88,2.77,1.68,1.75,0,0,West,Desktop
CUST_003818,Control,6.84,18.0,23.98,1.56,59.89,42.0,58.3,55.99,7.56,7.34,5.82,5.43,0,0,North,Tablet
CUST_001196,Control,56.92,70.84,78.22,69.15,53.42,58.97,47.75,50.68,4.34,0.0,2.35,3.83,0,0,East,Desktop
CUST_008004,Treatment,23.4,31.72,17.88,37.33,47.83,52.78,48.0,45.01,5.02,7.31,5.16,4.29,0,0,West,Desktop
CUST_003449,Control,10.77,20.32,4.73,4.95,34.9,47.6,35.83,38.79,2.99,0.38,3.15,1.96,0,1,East,Desktop
CUST_001436,Control,22.56,18.78,19.69,14.14,32.88,54.9,37.96,42.65,5.3,3.49,7.07,3.97,0,0,East,Mobile
CUST_009474,Treatment,12.4,11.3,37.6,15.37,55.27,49.07,55.04,62.69,0.08,0.0,2.42,0.66,0,0,South,Tablet
CUST_008437,Treatment,26.95,18.9,14.96,17.85,64.8,42.12,50.25,44.49,5.56,6.0,3.12,5.73,0,0,West,Desktop
CUST_003030,Control,96.77,98.99,100.06,97.36,45.81,44.97,45.98,44.64,1.86,4.09,1.35,1.03,1,0,East,Mobile
CUST_006355,Treatment,35.79,52.02,49.42,55.28,62.1,54.82,52.92,56.27,0.0,0.0,1.88,0.0,0,0,West,Tablet
CUST_003775,Control,57.88,57.89,67.14,88.13,27.2,46.48,43.14,36.38,3.11,2.79,4.88,2.3,0,0,West,Desktop
CUST_008923,Treatment,14.28,0.0,21.79,22.54,57.05,58.87,62.23,57.05,3.12,4.96,3.77,4.13,0,0,South,Desktop
CUST_000037,Control,19.58,18.66,7.35,20.64,72.42,54.75,44.07,43.22,2.45,2.97,2.99,2.46,1,0,South,Desktop
CUST_003553,Control,11.53,9.76,8.46,17.8,43.04,38.62,44.01,47.3,3.82,2.24,0.0,1.86,0,0,South,Desktop
CUST_003284,Control,12.39,6.65,9.71,7.05,62.47,54.56,66.07,51.37,2.83,4.88,3.81,2.83,0,0,East,Mobile
CUST_006451,Treatment,56.06,60.36,68.44,74.65,60.0,38.25,52.87,57.7,3.37,2.83,4.12,4.04,0,0,North,Mobile
CUST_009031,Treatment,29.33,35.98,13.78,14.4,56.95,61.3,37.87,28.38,4.2,2.68,3.66,4.23,0,0,North,Mobile
CUST_005069,Treatment,22.63,14.99,1.17,17.05,60.55,54.38,62.7,58.6,5.14,2.31,1.14,3.61,0,0,East,Desktop
CUST_005358,Treatment,20.9,24.91,17.55,22.48,55.71,53.69,65.43,67.19,4.76,6.17,4.56,3.85,0,0,East,Desktop
CUST_000832,Control,29.02,23.67,28.63,33.52,60.17,49.81,52.27,46.11,2.01,1.74,1.18,2.2,0,0,West,Desktop
CUST_000375,Control,44.64,49.44,62.72,62.14,47.67,45.3,56.28,54.45,0.98,3.51,5.0,0.0,0,0,North,Desktop
CUST_004077,Control,22.46,36.0,28.13,18.09,32.49,45.31,39.06,39.37,4.35,5.59,2.42,4.85,0,1,South,Tablet
CUST_008576,Treatment,18.3,19.46,8.49,13.37,61.02,75.74,47.13,34.87,5.66,5.13,6.09,4.74,0,0,East,Desktop
CUST_008053,Treatment,104.2,90.87,95.14,119.1,50.05,63.58,44.52,46.07,0.1,1.09,0.13,2.77,0,0,East,Desktop
CUST_003731,Control,13.31,26.28,35.11,34.23,63.67,57.65,48.06,50.52,0.0,0.0,0.0,0.0,0,0,South,Mobile
CUST_004905,Control,57.52,70.14,73.85,71.69,50.46,50.81,46.7,34.14,1.02,4.07,3.09,1.27,0,1,South,Mobile
CUST_005427,Treatment,54.69,49.41,45.71,59.05,33.19,53.44,40.46,38.95,3.61,2.09,0.22,0.0,0,1,East,Desktop
CUST_001763,Control,90.34,79.24,84.84,66.52,62.43,48.96,54.52,57.87,4.84,5.52,6.33,2.56,1,0,North,Tablet
CUST_001731,Control,10.82,22.7,36.35,45.91,49.1,53.23,36.44,37.96,4.81,5.53,1.71,1.96,0,0,South,Tablet
CUST_003753,Control,109.15,123.42,117.93,129.44,49.91,52.55,43.83,42.13,5.24,3.83,2.65,5.05,0,0,North,Desktop
CUST_005464,Treatment,187.68,213.97,225.95,234.15,43.79,55.82,49.42,60.87,8.86,6.49,6.54,5.19,0,0,East,Mobile
CUST_003582,Control,42.31,50.47,53.05,42.22,41.41,52.51,55.96,49.31,6.0,4.95,4.68,1.41,1,0,North,Mobile
CUST_007180,Treatment,54.4,76.13,75.72,85.19,64.01,69.46,42.34,46.19,4.24,3.34,6.9,4.5,0,0,East,Desktop
CUST_001544,Control,25.31,3.74,9.72,2.54,56.2,59.53,50.11,54.46,0.0,1.46,1.16,0.62,0,0,West,Desktop
CUST_007171,Treatment,26.94,22.08,28.4,30.78,40.8,61.94,56.73,60.14,2.05,2.22,1.44,1.47,0,0,East,Mobile
CUST_000949,Control,34.64,42.14,35.2,23.91,35.55,42.83,61.53,61.42,3.37,2.51,3.27,2.76,1,0,South,Mobile
CUST_000534,Control,18.52,11.71,13.33,11.83,50.49,55.68,48.74,50.85,1.44,1.66,0.92,0.0,0,0,West,Desktop
CUST_002756,Control,138.51,150.45,135.79,157.85,72.11,42.1,56.53,54.61,4.21,4.97,3.03,0.93,0,0,West,Desktop
CUST_007168,Treatment,13.5,3.05,1.53,4.67,63.06,57.83,44.54,50.83,4.39,5.17,4.85,3.98,0,1,West,Desktop
CUST_001658,Control,28.44,31.41,27.98,43.08,55.88,60.33,44.42,49.24,4.13,4.61,3.69,4.41,1,0,West,Desktop
CUST_002972,Control,14.41,25.67,13.79,13.13,62.7,56.31,45.61,48.81,0.0,2.97,2.71,4.39,0,0,North,Desktop
CUST_003254,Control,40.01,36.42,38.14,28.79,79.11,59.5,61.16,59.54,3.84,6.08,4.23,1.0,1,0,West,Desktop
CUST_002702,Control,15.9,20.02,20.71,15.57,51.46,49.83,49.22,52.72,4.24,1.77,1.88,2.2,1,0,South,Mobile
CUST_006839,Treatment,27.98,13.12,17.68,21.78,60.11,47.07,49.73,48.0,3.69,5.47,3.86,4.31,0,0,North,Mobile
CUST_008125,Treatment,87.95,113.71,98.25,98.89,38.77,58.35,56.91,54.26,7.55,5.04,5.96,5.28,0,0,East,Tablet
CUST_000935,Control,15.05,13.76,27.93,26.63,49.02,54.57,36.0,39.27,3.29,4.09,6.2,0.94,0,0,South,Mobile
CUST_005055,Treatment,163.77,166.26,177.23,200.12,48.24,42.53,45.06,50.47,3.06,6.33,4.29,3.86,0,0,West,Mobile
CUST_000923,Control,11.79,0.0,15.74,6.28,44.1,53.79,63.29,59.59,4.41,6.03,7.54,3.83,0,0,East,Mobile
CUST_009572,Treatment,17.86,14.42,41.79,27.74,49.54,55.86,47.02,54.29,5.54,6.01,5.45,3.33,0,0,South,Desktop
CUST_006089,Treatment,83.16,93.07,96.41,93.12,41.04,59.17,45.49,45.04,2.43,2.11,2.19,2.3,0,0,South,Desktop
CUST_004892,Control,25.68,13.6,22.51,26.74,73.26,47.56,45.81,44.06,3.16,4.65,3.41,4.82,0,1,East,Mobile
CUST_004649,Control,113.94,114.6,122.83,121.06,49.37,64.29,57.36,54.59,2.3,1.86,2.01,3.82,0,0,East,Desktop
CUST_001210,Control,9.83,0.0,0.79,10.79,64.52,64.34,54.18,49.49,5.73,7.36,6.09,3.05,0,1,East,Desktop
CUST_004712,Control,15.48,10.31,21.79,24.21,63.99,59.74,63.77,70.84,5.35,3.02,1.67,5.66,1,0,North,Tablet
CUST_004092,Control,20.11,21.68,9.87,22.58,38.56,50.2,49.71,51.3,1.69,3.16,1.25,0.12,0,0,East,Desktop
CUST_009774,Treatment,41.79,49.58,67.27,43.31,55.57,55.95,52.0,52.02,0.0,0.0,0.0,1.91,0,0,North,Desktop
CUST_004783,Control,55.17,70.71,69.68,76.68,51.24,54.66,61.04,60.3,1.37,4.93,2.57,2.44,0,0,North,Mobile
CUST_007134,Treatment,4.73,2.54,0.0,5.49,51.91,28.67,48.04,48.27,0.91,2.32,0.84,0.0,0,1,South,Mobile
CUST_006594,Treatment,215.51,238.57,231.58,263.71,50.13,46.78,47.81,46.65,5.83,8.26,6.96,6.01,0,0,North,Desktop
CUST_003945,Control,22.24,42.31,19.59,8.22,43.78,55.35,41.04,42.41,4.08,3.04,5.56,1.07,0,0,West,Tablet
CUST_000346,Control,4.91,23.65,26.76,20.07,60.7,59.85,51.48,49.03,8.0,7.45,5.27,2.07,0,0,North,Mobile
CUST_005812,Treatment,98.32,95.72,101.47,121.55,49.26,53.11,46.75,45.83,1.98,0.72,2.43,4.18,0,0,North,Desktop
CUST_003683,Control,11.1,9.12,26.36,15.63,57.63,58.9,50.89,59.48,2.04,2.6,4.95,3.0,1,0,West,Desktop
CUST_006739,Treatment,53.8,21.66,65.76,62.6,33.46,46.71,46.24,46.89,3.62,3.49,3.68,4.34,0,0,South,Mobile
CUST_008932,Treatment,97.34,117.33,115.85,140.77,47.0,73.62,37.23,36.97,1.48,4.97,2.14,1.59,0,1,North,Desktop
CUST_003063,Control,18.79,21.84,20.02,24.57,48.84,62.43,35.74,42.78,3.78,1.36,0.51,1.32,0,0,East,Desktop
CUST_002316,Control,83.91,80.06,88.61,92.84,54.07,33.52,44.43,46.37,0.98,1.08,4.03,2.17,0,1,East,Mobile
CUST_005609,Treatment,19.36,17.93,13.28,20.0,51.28,40.66,40.12,35.59,2.03,0.0,0.0,0.0,0,0,East,Desktop
CUST_000572,Control,29.24,49.93,39.79,56.95,54.66,42.89,43.52,38.67,1.31,1.3,0.0,2.46,1,1,East,Mobile
CUST_006890,Treatment,43.39,29.07,26.95,39.06,29.31,42.05,46.81,50.75,4.46,3.17,2.51,0.0,0,0,North,Desktop
CUST_001876,Control,145.28,147.77,163.08,175.33,54.76,50.71,50.58,53.61,7.26,4.9,4.28,6.48,1,0,North,Mobile
CUST_000057,Control,60.47,52.47,71.84,65.74,58.32,48.02,56.04,53.88,5.2,0.0,3.64,0.45,0,0,North,Mobile
CUST_003088,Control,14.29,6.26,13.6,15.67,49.45,52.31,52.38,51.12,4.06,2.02,1.63,2.12,1,0,West,Desktop
CUST_006767,Treatment,10.79,2.21,34.98,21.28,55.2,66.22,56.04,52.75,0.32,2.41,2.28,2.9,0,0,West,Desktop
CUST_009063,Treatment,62.26,67.33,91.15,90.04,36.05,38.67,36.52,36.43,5.22,6.96,6.14,2.87,0,0,North,Mobile
CUST_001313,Control,28.56,22.11,24.07,28.02,46.08,55.07,52.46,50.35,4.92,3.18,2.07,3.43,0,0,North,Mobile
CUST_007333,Treatment,106.16,113.35,110.31,128.75,43.35,45.45,47.21,46.19,3.27,2.79,0.91,0.0,0,0,East,Mobile
CUST_001386,Control,27.29,31.33,0.0,17.57,52.28,61.49,36.66,32.58,6.94,4.54,3.8,1.34,0,0,North,Desktop
CUST_006096,Treatment,0.0,9.31,0.96,6.39,40.22,54.07,62.61,63.0,0.9,0.0,1.24,1.61,0,0,North,Desktop
CUST_003539,Control,30.66,41.15,39.95,55.01,54.42,50.17,52.1,56.63,0.0,0.0,0.0,0.0,0,0,South,Mobile
CUST_008687,Treatment,0.0,2.14,1.4,0.73,53.41,33.39,48.2,50.21,4.66,2.65,4.88,3.16,0,0,North,Desktop
CUST_008202,Treatment,9.69,27.17,12.42,9.2,37.52,49.37,46.22,51.51,4.93,3.51,4.48,3.75,0,0,West,Mobile
CUST_009961,Treatment,57.07,72.26,78.85,86.02,46.81,61.76,63.25,59.54,6.79,6.4,6.35,5.0,1,0,East,Tablet
CUST_000946,Control,18.07,15.01,18.45,18.1,51.66,44.03,39.54,41.97,5.11,5.88,1.52,5.95,0,1,East,Desktop
CUST_001666,Control,16.19,4.02,19.99,18.76,56.38,48.15,53.28,58.23,0.6,0.86,4.56,0.4,0,0,North,Desktop
CUST_001443,Control,32.0,34.63,40.54,44.17,31.27,52.33,54.72,56.25,3.88,1.3,1.26,1.93,0,0,South,Desktop
CUST_005645,Treatment,12.88,24.03,4.38,23.89,46.88,49.52,53.87,56.82,4.2,2.75,4.2,2.97,0,0,East,Mobile
