customer_id,group,revenue_pre_w1,revenue_pre_w2,revenue_pre_w3,revenue_post,engagement_tier,region,device_type,plan_type,tenure_months,new_customer
CUST_000024,Treatment,60.85,52.29,66.11,80.96,medium,West,Tablet,Premium,1,1
CUST_000025,Treatment,80.53,94.53,108.33,110.69,medium,East,Mobile,Premium,10,0
CUST_000026,Control,54.33,44.17,40.81,46.99,low,West,Tablet,Premium,20,0
CUST_000027,Treatment,36.2,29.97,50.0,57.55,low,North,Desktop,Premium,22,0
CUST_000028,Control,28.99,24.18,33.34,19.39,low,West,Mobile,Premium,1,1
CUST_000029,Control,20.46,29.61,23.65,28.85,low,North,Desktop,Basic,10,0
CUST_000030,Treatment,40.83,37.83,31.78,20.01,medium,West,Mobile,Basic,11,0
CUST_000031,Treatment,5.19,21.22,40.05,28.5,medium,North,Tablet,Basic,14,0
CUST_000032,Treatment,70.0,58.92,59.79,73.33,medium,West,Mobile,Premium,11,0
CUST_000033,Treatment,25.23,28.38,28.76,32.32,low,South,Desktop,Basic,6,0
CUST_000034,Control,47.24,35.47,28.69,38.18,medium,West,Desktop,Premium,15,0
CUST_000035,Control,102.32,106.25,127.74,121.94,high,North,Desktop,Premium,1,1
CUST_000036,Treatment,139.22,143.04,122.36,160.24,medium,North,Mobile,Enterprise,20,0
CUST_000037,Treatment,58.89,62.83,69.31,75.38,medium,South,Mobile,Premium,8,0
CUST_000038,Treatment,30.17,47.96,37.82,48.31,medium,West,Mobile,Premium,2,1
CUST_000039,Treatment,123.12,106.44,120.92,129.22,medium,North,Mobile,Premium,20,0
CUST_000040,Treatment,32.18,42.86,49.67,50.91,medium,West,Desktop,Basic,7,0
CUST_000041,Control,23.13,14.05,11.04,22.72,low,East,Mobile,Basic,12,0
CUST_000042,Treatment,20.53,25.77,23.84,12.17,low,North,Desktop,Basic,18,0
CUST_000043,Control,16.25,4.35,9.47,0.0,low,West,Desktop,Basic,2,1
CUST_000044,Treatment,27.59,36.0,20.54,22.29,medium,North,Desktop,Basic,3,1
CUST_000045,Control,10.27,23.85,24.96,17.04,medium,North,Desktop,Basic,22,0
CUST_000046,Treatment,33.8,26.83,6.58,41.92,medium,West,Mobile,Basic,5,1
CUST_000047,Control,75.14,60.71,64.45,67.27,medium,South,Desktop,Premium,4,1
CUST_000048,Control,23.84,27.06,20.63,29.08,low,West,Mobile,Basic,60,0
CUST_000049,Control,91.78,100.22,90.24,114.63,high,South,Desktop,Premium,3,1
CUST_000050,Treatment,75.75,83.0,89.64,81.1,low,East,Mobile,Enterprise,7,0
CUST_000051,Control,61.84,64.41,51.87,64.18,high,East,Desktop,Premium,9,0
CUST_000052,Control,185.51,191.49,191.38,203.75,high,West,Desktop,Enterprise,2,1
CUST_000053,Control,53.65,57.05,64.21,55.92,medium,East,Mobile,Premium,1,1
CUST_000054,Control,34.38,23.95,31.25,19.9,medium,East,Mobile,Basic,37,0
CUST_000055,Treatment,64.11,57.33,52.81,64.92,high,West,Desktop,Premium,10,0
CUST_000056,Treatment,25.5,42.05,36.96,28.64,low,East,Mobile,Basic,32,0
CUST_000057,Treatment,113.36,107.84,141.21,143.12,high,West,Mobile,Premium,6,0
CUST_000058,Treatment,92.92,104.26,95.87,125.36,high,South,Tablet,Premium,28,0
CUST_000059,Treatment,36.73,16.9,30.27,9.15,medium,South,Mobile,Basic,19,0
CUST_000060,Treatment,38.02,43.63,40.27,61.98,high,West,Desktop,Basic,8,0
CUST_000061,Control,101.68,108.07,117.28,116.63,medium,West,Tablet,Enterprise,20,0
CUST_000062,Control,25.1,29.94,27.49,30.73,low,North,Desktop,Premium,8,0
CUST_000063,Control,74.82,82.37,91.15,90.93,medium,East,Desktop,Enterprise,12,0
CUST_000064,Control,59.54,63.15,72.11,72.9,low,North,Mobile,Premium,27,0
CUST_000065,Treatment,33.2,41.93,44.1,47.1,medium,South,Desktop,Premium,3,1
CUST_000066,Control,43.36,43.61,31.95,44.94,low,West,Desktop,Basic,37,0
CUST_000067,Control,149.62,151.36,175.63,156.31,low,South,Desktop,Enterprise,10,0
CUST_000068,Control,34.15,67.56,51.51,63.33,medium,East,Desktop,Premium,8,0
CUST_000069,Treatment,20.13,17.34,28.39,3.29,low,South,Desktop,Basic,23,0
CUST_000070,Treatment,16.25,34.18,37.79,35.9,low,North,Mobile,Basic,2,1
CUST_000071,Control,77.07,84.42,95.22,82.11,high,West,Desktop,Premium,1,1
CUST_000072,Treatment,21.88,20.29,22.33,17.2,low,North,Tablet,Basic,33,0
CUST_000073,Control,41.47,42.87,31.58,39.98,low,South,Mobile,Premium,2,1
CUST_000074,Control,33.97,47.33,32.75,44.29,high,North,Tablet,Basic,1,1
CUST_000075,Treatment,39.08,64.12,57.53,59.59,low,West,Desktop,Enterprise,2,1
CUST_000076,Treatment,28.58,28.97,19.05,18.78,medium,North,Mobile,Basic,10,0
CUST_000077,Treatment,238.02,254.63,247.58,272.24,medium,West,Desktop,Enterprise,26,0
CUST_000078,Treatment,67.54,71.22,58.63,68.86,medium,East,Desktop,Premium,1,1
CUST_000079,Treatment,161.28,151.78,155.38,166.61,medium,West,Desktop,Enterprise,22,0
CUST_000080,Control,105.36,74.77,91.63,110.55,low,South,Desktop,Enterprise,1,1
CUST_000081,Control,84.1,79.04,84.9,106.03,low,North,Desktop,Enterprise,25,0
CUST_000082,Control,33.28,38.66,27.41,35.39,high,North,Mobile,Basic,30,0
CUST_000083,Control,47.8,37.03,37.1,40.46,high,South,Mobile,Basic,7,0
CUST_000084,Control,15.81,23.89,20.92,28.87,medium,West,Mobile,Basic,11,0
CUST_000085,Control,20.77,35.59,28.65,36.34,medium,North,Desktop,Basic,12,0
CUST_000086,Treatment,19.67,12.73,17.65,6.55,low,West,Desktop,Basic,7,0
CUST_000087,Control,41.69,48.91,45.12,35.61,medium,East,Desktop,Basic,29,0
CUST_000088,Control,28.38,37.98,36.69,27.63,medium,East,Desktop,Basic,34,0
CUST_000089,Control,30.78,25.17,7.35,32.51,medium,East,Mobile,Basic,60,0
CUST_000090,Control,16.48,16.36,17.01,25.41,low,North,Mobile,Premium,28,0
CUST_000091,Control,77.37,84.99,98.15,104.32,high,South,Desktop,Premium,1,1
CUST_000092,Control,189.57,177.72,187.33,193.1,high,West,Desktop,Enterprise,27,0
CUST_000093,Treatment,21.07,44.28,45.05,49.84,high,West,Mobile,Basic,2,1
CUST_000094,Treatment,51.12,43.17,46.08,63.58,low,East,Desktop,Premium,5,1
CUST_000095,Control,17.11,11.49,12.77,22.36,low,North,Desktop,Basic,19,0
CUST_000096,Treatment,26.11,16.32,23.49,20.65,low,West,Desktop,Basic,9,0
CUST_000097,Treatment,143.68,142.52,151.71,164.25,medium,West,Desktop,Enterprise,35,0
CUST_000098,Treatment,5.93,15.16,37.51,18.33,medium,West,Desktop,Basic,50,0
CUST_000099,Control,61.52,75.76,71.56,74.87,low,West,Desktop,Premium,2,1
CUST_000100,Treatment,88.64,80.41,97.49,107.0,high,West,Tablet,Premium,37,0
CUST_000101,Treatment,52.47,62.41,74.78,75.52,medium,West,Tablet,Premium,37,0
CUST_000102,Treatment,17.0,15.9,25.79,16.86,low,North,Mobile,Basic,1,1
CUST_000103,Treatment,84.54,85.97,87.02,103.32,medium,South,Desktop,Premium,29,0
CUST_000104,Treatment,27.21,40.41,17.43,17.44,medium,South,Mobile,Basic,17,0
CUST_000105,Treatment,35.31,44.01,46.16,52.48,low,North,Desktop,Basic,7,0
CUST_000106,Control,83.5,103.94,101.82,118.93,medium,West,Mobile,Premium,7,0
CUST_000107,Control,29.48,35.4,27.35,35.78,medium,East,Tablet,Basic,2,1
CUST_000108,Treatment,66.47,47.42,44.85,69.9,high,East,Desktop,Premium,6,0
CUST_000109,Treatment,54.43,73.17,57.67,68.2,medium,East,Tablet,Premium,7,0
CUST_000110,Treatment,104.64,110.22,114.22,134.68,high,West,Mobile,Premium,4,1
CUST_000111,Treatment,65.1,78.78,65.13,85.97,medium,South,Mobile,Premium,16,0
CUST_000112,Control,80.4,85.15,72.21,77.43,high,West,Desktop,Premium,24,0
CUST_000113,Control,54.65,58.33,56.04,61.51,medium,West,Desktop,Premium,1,1
CUST_000114,Control,87.96,104.49,93.71,103.23,low,East,Mobile,Enterprise,1,1
CUST_000115,Control,51.24,60.78,44.79,59.61,low,North,Desktop,Enterprise,8,0
CUST_000116,Treatment,38.84,20.14,26.32,10.22,medium,East,Mobile,Basic,5,1
CUST_000117,Control,38.95,39.97,44.63,30.29,medium,South,Mobile,Basic,60,0
CUST_000118,Treatment,40.37,38.34,27.68,45.13,low,South,Mobile,Premium,22,0
CUST_000119,Control,39.02,42.9,30.19,32.84,low,West,Mobile,Premium,2,1
CUST_000120,Treatment,53.84,48.59,40.13,47.41,low,North,Desktop,Premium,9,0
CUST_000121,Control,76.53,84.44,81.56,76.85,medium,South,Mobile,Premium,19,0
CUST_000122,Control,34.64,39.58,16.24,44.85,low,East,Mobile,Basic,3,1
CUST_000123,Treatment,50.55,56.13,51.75,82.41,high,North,Desktop,Premium,24,0
CUST_000124,Control,21.65,47.58,38.4,41.14,high,West,Tablet,Basic,1,1
CUST_000125,Control,210.02,220.86,220.57,233.4,high,West,Mobile,Enterprise,2,1
CUST_000126,Control,40.83,28.18,27.33,25.78,low,South,Desktop,Basic,6,0
CUST_000127,Treatment,55.48,63.31,48.07,41.04,low,West,Desktop,Premium,6,0
CUST_000128,Treatment,128.87,130.24,141.96,172.81,high,South,Desktop,Premium,13,0
CUST_000129,Control,56.88,60.67,59.98,64.04,medium,South,Desktop,Premium,1,1
CUST_000130,Control,51.74,52.51,60.33,45.21,medium,East,Desktop,Premium,17,0
CUST_000131,Treatment,55.48,63.71,42.0,71.57,low,North,Desktop,Enterprise,38,0
CUST_000132,Control,21.96,31.69,22.77,38.87,medium,South,Desktop,Basic,4,1
CUST_000133,Control,40.45,48.24,38.88,40.78,medium,West,Desktop,Premium,1,1
CUST_000134,Control,52.66,62.87,55.88,64.38,medium,South,Tablet,Premium,6,0
CUST_000135,Control,9.03,5.31,24.06,19.31,medium,East,Desktop,Basic,4,1
CUST_000136,Treatment,15.34,29.49,28.08,17.32,low,North,Mobile,Basic,11,0
CUST_000137,Treatment,16.02,17.73,35.69,24.85,medium,South,Mobile,Basic,49,0
CUST_000138,Control,40.88,41.45,42.74,46.44,medium,East,Desktop,Basic,1,1
CUST_000139,Treatment,97.04,81.71,93.85,109.0,medium,West,Desktop,Enterprise,1,1
CUST_000140,Control,201.52,228.84,222.35,222.84,high,South,Desktop,Enterprise,22,0
CUST_000141,Treatment,25.74,19.58,15.96,23.63,medium,West,Mobile,Basic,12,0
CUST_000142,Treatment,48.23,39.31,49.54,66.39,high,East,Desktop,Premium,19,0
CUST_000143,Treatment,11.72,22.04,23.57,20.89,low,West,Mobile,Basic,16,0
CUST_000144,Control,24.29,31.96,18.42,0.0,low,East,Desktop,Basic,6,0
CUST_000145,Control,75.04,63.46,56.71,58.35,low,North,Mobile,Premium,19,0
CUST_000146,Control,60.93,70.41,69.26,60.08,medium,East,Desktop,Premium,4,1
CUST_000147,Treatment,27.86,24.42,21.79,43.87,low,North,Desktop,Basic,5,1
CUST_000148,Treatment,41.2,43.99,40.55,54.46,medium,West,Tablet,Basic,34,0
CUST_000149,Treatment,40.99,47.04,45.39,52.53,medium,South,Mobile,Basic,24,0
CUST_000150,Treatment,30.45,14.78,32.31,23.73,low,North,Desktop,Basic,4,1
CUST_000151,Treatment,35.72,19.69,32.36,29.21,low,North,Mobile,Basic,22,0
CUST_000152,Control,57.9,92.88,85.95,83.24,low,West,Mobile,Enterprise,21,0
CUST_000153,Control,41.75,42.39,38.49,43.72,medium,South,Mobile,Premium,23,0
CUST_000154,Treatment,20.12,36.02,24.22,18.58,low,South,Mobile,Basic,18,0
CUST_000155,Treatment,41.69,62.68,56.91,71.68,low,East,Mobile,Premium,10,0
CUST_000156,Treatment,95.18,110.9,122.37,134.0,high,North,Mobile,Basic,17,0
CUST_000157,Control,53.34,66.04,58.9,81.46,low,East,Tablet,Premium,22,0
CUST_000158,Control,120.28,118.45,123.14,137.5,medium,North,Mobile,Enterprise,29,0
CUST_000159,Treatment,61.89,72.98,53.46,86.73,high,North,Desktop,Premium,3,1
CUST_000160,Control,83.83,61.74,75.62,73.02,medium,North,Mobile,Premium,21,0
CUST_000161,Treatment,43.67,54.92,43.89,67.04,medium,East,Desktop,Basic,2,1
CUST_000162,Control,183.25,186.95,188.65,195.39,medium,North,Tablet,Enterprise,12,0
CUST_000163,Treatment,37.03,58.14,46.38,57.22,high,North,Desktop,Basic,3,1
CUST_000164,Treatment,62.17,70.47,71.51,70.51,low,West,Desktop,Enterprise,16,0
CUST_000165,Treatment,57.53,62.07,80.76,78.52,low,East,Desktop,Enterprise,5,1
CUST_000166,Treatment,32.45,39.23,45.64,47.64,high,South,Desktop,Basic,34,0
CUST_000167,Control,10.99,11.27,18.06,16.16,low,South,Desktop,Basic,20,0
CUST_000168,Control,72.19,73.37,70.92,80.72,medium,West,Desktop,Premium,11,0
CUST_000169,Treatment,47.69,46.79,51.44,65.3,high,West,Mobile,Basic,42,0
CUST_000170,Treatment,29.71,37.34,30.94,22.17,medium,East,Mobile,Basic,12,0
CUST_000171,Treatment,32.38,22.04,28.38,22.66,low,West,Tablet,Basic,6,0
CUST_000172,Control,30.4,30.19,11.59,17.7,low,West,Desktop,Basic,32,0
CUST_000173,Control,54.58,36.13,69.27,58.66,low,North,Mobile,Premium,1,1
CUST_000174,Treatment,67.22,68.37,63.02,62.39,medium,East,Mobile,Premium,5,1
CUST_000175,Treatment,42.64,40.53,30.51,41.83,medium,North,Mobile,Basic,1,1
CUST_000176,Control,42.59,26.87,22.95,45.7,low,East,Desktop,Basic,28,0
CUST_000177,Control,55.6,51.48,49.38,56.82,medium,East,Desktop,Premium,30,0
CUST_000178,Treatment,82.93,85.0,98.6,93.55,medium,East,Desktop,Premium,6,0
CUST_000179,Control,39.22,43.74,50.88,54.92,medium,West,Desktop,Premium,28,0
CUST_000180,Control,29.09,27.8,31.02,28.56,medium,North,Desktop,Basic,2,1
CUST_000181,Control,38.18,29.16,26.26,41.46,medium,West,Tablet,Basic,8,0
CUST_000182,Treatment,84.72,81.28,76.91,99.84,high,West,Desktop,Premium,8,0
CUST_000183,Treatment,8.08,21.79,21.41,24.25,low,North,Mobile,Basic,23,0
CUST_000184,Control,47.79,34.88,50.97,53.16,medium,South,Desktop,Premium,2,1
CUST_000185,Treatment,99.68,98.44,97.85,110.5,high,East,Mobile,Premium,2,1
CUST_000186,Treatment,98.38,107.47,110.79,122.11,high,North,Mobile,Premium,35,0
CUST_000187,Treatment,86.97,107.3,96.14,94.34,low,North,Mobile,Enterprise,16,0
CUST_000188,Control,24.71,14.02,31.35,27.12,low,North,Desktop,Premium,5,1
CUST_000189,Treatment,115.26,120.42,127.01,124.16,medium,West,Mobile,Enterprise,5,1
CUST_000190,Treatment,71.29,55.24,56.86,62.31,low,East,Desktop,Premium,4,1
CUST_000191,Control,82.28,84.33,76.39,85.02,high,North,Desktop,Basic,2,1
CUST_000192,Control,57.99,50.02,29.19,48.24,high,South,Desktop,Basic,30,0
CUST_000193,Treatment,26.66,40.67,18.31,16.37,low,North,Mobile,Basic,12,0
CUST_000194,Treatment,24.03,18.08,25.4,22.28,medium,East,Mobile,Basic,4,1
CUST_000195,Treatment,27.53,25.25,24.0,37.6,medium,West,Mobile,Basic,4,1
CUST_000196,Control,17.21,27.09,15.8,22.75,low,East,Tablet,Basic,6,0
CUST_000197,Control,41.66,26.75,37.72,37.24,medium,West,Desktop,Basic,35,0
CUST_000198,Control,22.58,29.13,28.42,30.56,low,South,Mobile,Basic,34,0
CUST_000199,Treatment,7.61,8.06,14.28,41.1,low,South,Desktop,Basic,15,0
CUST_000200,Treatment,26.03,34.55,26.84,30.94,low,West,Mobile,Premium,1,1
CUST_000201,Treatment,30.57,34.43,36.47,34.47,medium,East,Tablet,Basic,15,0
CUST_000202,Treatment,101.3,119.87,121.73,130.64,medium,West,Desktop,Premium,1,1
CUST_000203,Control,23.52,28.47,24.41,18.36,low,West,Mobile,Basic,40,0
CUST_000204,Treatment,52.51,59.16,40.87,59.5,low,East,Desktop,Enterprise,33,0
CUST_000205,Control,176.77,187.6,186.72,193.12,medium,South,Desktop,Enterprise,20,0
CUST_000206,Treatment,35.98,55.97,72.31,67.96,high,West,Desktop,Basic,1,1
CUST_000207,Treatment,26.77,23.3,23.08,22.25,low,West,Tablet,Basic,8,0
CUST_000208,Control,14.18,9.84,21.06,20.59,low,West,Desktop,Basic,23,0
CUST_000209,Treatment,113.16,117.12,119.75,117.19,medium,South,Tablet,Premium,1,1
CUST_000210,Treatment,20.54,19.98,18.07,24.97,low,North,Desktop,Basic,16,0
CUST_000211,Control,49.87,58.98,44.87,59.67,low,North,Desktop,Premium,5,1
CUST_000212,Control,17.62,13.87,25.97,19.66,low,South,Mobile,Basic,19,0
CUST_000213,Control,87.74,93.15,92.04,100.89,high,North,Mobile,Premium,3,1
CUST_000214,Control,50.21,34.88,45.95,53.56,high,West,Mobile,Basic,7,0
CUST_000215,Control,32.11,47.61,43.06,32.08,low,East,Desktop,Premium,1,1
CUST_000216,Treatment,33.98,27.33,25.58,38.41,medium,North,Desktop,Premium,1,1
CUST_000217,Control,22.61,16.76,25.27,25.6,low,West,Desktop,Basic,37,0
CUST_000218,Treatment,79.3,73.69,76.65,76.51,medium,North,Desktop,Premium,1,1
CUST_000219,Control,101.37,103.51,114.54,122.77,high,North,Mobile,Premium,26,0
CUST_000220,Control,6.61,0.0,17.86,20.11,low,West,Mobile,Basic,16,0
CUST_000221,Treatment,15.13,11.29,12.67,25.86,low,East,Mobile,Basic,1,1
CUST_000222,Treatment,12.43,13.89,22.14,21.58,low,North,Desktop,Basic,2,1
CUST_000223,Treatment,19.65,7.45,25.32,9.88,low,South,Mobile,Basic,12,0
CUST_000224,Treatment,65.28,58.03,74.85,79.76,medium,West,Mobile,Premium,32,0
CUST_000225,Treatment,129.16,122.26,128.41,158.73,high,West,Mobile,Premium,41,0
CUST_000226,Control,29.09,24.73,25.04,18.45,medium,South,Desktop,Basic,7,0
CUST_000227,Treatment,46.19,28.3,35.6,25.24,low,West,Desktop,Basic,20,0
CUST_000228,Treatment,34.19,41.61,53.22,58.68,medium,East,Mobile,Basic,10,0
CUST_000229,Treatment,167.31,158.75,184.64,218.69,medium,East,Mobile,Enterprise,53,0
CUST_000230,Treatment,159.75,193.73,187.81,196.65,medium,West,Mobile,Premium,2,1
CUST_000231,Control,43.03,35.4,15.33,26.64,low,West,Mobile,Basic,12,0
CUST_000232,Control,28.52,22.81,8.24,30.15,low,West,Desktop,Basic,1,1
CUST_000233,Control,73.16,82.74,110.46,110.8,low,East,Mobile,Enterprise,11,0
CUST_000234,Treatment,72.5,67.37,88.54,81.81,low,North,Tablet,Enterprise,28,0
CUST_000235,Treatment,35.12,33.13,24.18,34.58,low,South,Desktop,Basic,16,0
CUST_000236,Treatment,107.01,134.1,115.88,141.02,medium,South,Mobile,Enterprise,3,1
CUST_000237,Treatment,18.22,28.78,32.42,30.5,low,South,Tablet,Basic,8,0
CUST_000238,Treatment,20.59,20.79,31.97,34.21,medium,West,Mobile,Basic,3,1
CUST_000239,Control,80.01,73.47,88.15,92.83,high,South,Desktop,Premium,1,1
CUST_000240,Treatment,35.19,30.17,32.68,37.63,medium,North,Desktop,Basic,16,0
CUST_000241,Control,8.64,12.22,7.24,16.51,medium,East,Mobile,Basic,16,0
CUST_000242,Treatment,51.42,39.09,55.11,45.38,low,West,Desktop,Basic,41,0
CUST_000243,Control,96.06,88.22,87.51,101.77,medium,East,Mobile,Premium,8,0
CUST_000244,Treatment,42.73,55.32,46.75,53.27,medium,West,Mobile,Premium,23,0
CUST_000245,Control,20.78,37.13,12.03,49.17,medium,North,Mobile,Basic,12,0
CUST_000246,Control,27.6,24.5,29.6,34.84,low,East,Mobile,Premium,8,0
CUST_000247,Treatment,46.96,54.01,58.18,49.25,medium,West,Desktop,Basic,2,1
CUST_000248,Control,47.25,39.66,51.62,64.68,medium,West,Desktop,Basic,1,1
CUST_000249,Treatment,76.42,89.72,81.08,94.91,low,West,Mobile,Enterprise,19,0
CUST_000250,Control,61.38,58.23,70.15,68.91,medium,North,Mobile,Premium,7,0
CUST_000251,Control,28.58,26.67,38.14,25.26,medium,West,Desktop,Basic,34,0
CUST_000252,Treatment,236.77,251.63,252.49,297.66,medium,East,Mobile,Enterprise,32,0
CUST_000253,Control,46.41,35.01,53.63,54.8,medium,South,Desktop,Basic,60,0
CUST_000254,Control,103.5,87.92,94.18,89.66,low,West,Desktop,Enterprise,8,0
CUST_000255,Control,49.15,40.86,55.52,55.44,medium,East,Mobile,Premium,18,0
CUST_000256,Treatment,48.96,43.85,49.88,45.7,high,South,Desktop,Basic,33,0
CUST_000257,Control,93.79,87.02,86.41,83.51,medium,West,Mobile,Enterprise,2,1
CUST_000258,Treatment,43.76,37.96,41.01,52.24,medium,South,Desktop,Basic,14,0
CUST_000259,Treatment,18.16,18.32,29.25,19.76,low,East,Desktop,Basic,60,0
CUST_000260,Treatment,45.65,30.81,24.36,45.31,high,East,Desktop,Basic,16,0
CUST_000261,Control,70.93,86.08,74.69,82.67,high,West,Mobile,Basic,56,0
CUST_000262,Treatment,50.66,54.65,44.63,64.42,medium,East,Tablet,Basic,13,0
CUST_000263,Treatment,106.76,118.73,114.22,119.66,medium,South,Desktop,Enterprise,4,1
CUST_000264,Control,169.38,171.81,160.97,198.81,medium,North,Mobile,Enterprise,3,1
CUST_000265,Treatment,65.0,88.67,66.94,103.69,high,South,Tablet,Premium,18,0
CUST_000266,Control,29.63,26.26,27.29,41.32,low,North,Desktop,Premium,13,0
CUST_000267,Control,136.25,123.61,127.58,144.92,medium,East,Mobile,Enterprise,3,1
CUST_000268,Treatment,52.16,38.17,52.36,54.94,high,North,Mobile,Basic,7,0
CUST_000269,Control,102.45,104.57,95.01,116.57,high,East,Mobile,Premium,20,0
CUST_000270,Treatment,23.65,33.31,32.22,32.17,low,North,Mobile,Basic,4,1
CUST_000271,Treatment,26.57,34.21,36.54,26.36,medium,North,Mobile,Basic,6,0
CUST_000272,Treatment,65.32,52.48,64.5,87.46,low,East,Desktop,Premium,24,0
CUST_000273,Treatment,32.48,25.61,17.32,23.65,medium,South,Desktop,Basic,17,0
CUST_000274,Treatment,11.2,34.23,21.97,35.48,low,South,Mobile,Basic,1,1
CUST_000275,Control,74.37,76.12,94.03,90.32,high,South,Mobile,Premium,2,1
CUST_000276,Control,44.33,35.92,25.04,43.61,medium,West,Mobile,Basic,1,1
CUST_000277,Treatment,38.92,35.33,30.97,54.94,high,South,Mobile,Basic,11,0
CUST_000278,Treatment,92.46,85.28,92.69,137.67,high,East,Desktop,Premium,20,0
CUST_000279,Treatment,27.1,34.14,24.36,34.25,medium,East,Desktop,Basic,2,1
CUST_000280,Treatment,5.29,12.04,26.25,13.39,medium,North,Desktop,Basic,60,0
CUST_000281,Treatment,42.89,43.96,49.98,46.1,medium,West,Desktop,Basic,1,1
CUST_000282,Treatment,87.4,105.9,96.0,106.78,high,North,Mobile,Premium,6,0
CUST_000283,Control,26.16,15.57,26.31,35.29,low,North,Desktop,Basic,6,0
CUST_000284,Treatment,22.7,26.84,28.52,24.93,medium,North,Desktop,Basic,35,0
CUST_000285,Treatment,41.44,37.38,37.58,47.18,low,East,Mobile,Premium,12,0
CUST_000286,Control,24.47,25.4,33.97,33.05,medium,South,Desktop,Basic,5,1
CUST_000287,Treatment,32.98,49.37,47.41,35.32,high,South,Desktop,Basic,21,0
CUST_000288,Control,34.18,33.12,35.04,36.25,low,North,Desktop,Premium,2,1
CUST_000289,Control,81.62,64.1,91.15,87.96,medium,East,Desktop,Enterprise,30,0
CUST_000290,Control,73.79,86.76,67.58,75.47,medium,North,Mobile,Premium,12,0
CUST_000291,Treatment,2.83,10.61,19.26,21.01,low,East,Mobile,Basic,1,1
CUST_000292,Treatment,82.79,87.22,95.84,94.48,high,East,Desktop,Premium,42,0
CUST_000293,Control,46.6,23.23,32.16,48.8,medium,East,Desktop,Basic,3,1
CUST_000294,Control,16.39,26.8,5.13,8.35,medium,South,Desktop,Basic,33,0
CUST_000295,Treatment,31.65,37.38,41.84,63.35,high,East,Desktop,Basic,20,0
CUST_000296,Treatment,126.7,118.76,129.61,163.84,medium,North,Desktop,Enterprise,1,1
CUST_000297,Treatment,28.2,25.09,13.52,21.91,medium,West,Desktop,Basic,12,0
CUST_000298,Treatment,30.55,20.91,28.2,9.88,low,North,Mobile,Basic,3,1
CUST_000299,Control,98.41,90.29,96.28,84.54,high,West,Desktop,Basic,15,0
CUST_000300,Treatment,65.24,64.39,95.0,82.48,medium,South,Desktop,Premium,15,0
CUST_000301,Treatment,27.36,33.95,19.64,24.36,medium,South,Mobile,Basic,8,0
CUST_000302,Control,32.16,42.36,34.85,65.19,medium,East,Desktop,Basic,45,0
CUST_000303,Control,110.46,114.75,115.83,112.97,medium,East,Desktop,Premium,1,1
CUST_000304,Control,91.8,84.7,77.76,99.91,low,West,Tablet,Enterprise,24,0
CUST_000305,Treatment,37.79,29.47,45.34,31.2,low,West,Mobile,Premium,27,0
CUST_000306,Control,109.39,90.59,106.74,128.92,high,East,Mobile,Premium,26,0
CUST_000307,Treatment,46.56,35.39,42.34,51.61,low,East,Desktop,Premium,21,0
CUST_000308,Control,38.16,55.11,49.16,59.97,high,West,Desktop,Basic,7,0
CUST_000309,Control,127.09,143.42,143.5,162.84,medium,South,Tablet,Enterprise,6,0
